0.000000 0.000000
-0.001130 0.009616
-0.000305 0.019401
0.002711 0.029351
0.007932 0.039422
0.015362 0.049555
0.024991 0.059676
0.036795 0.069721
0.050709 0.079749
0.066714 0.089542
0.084761 0.098965
0.104776 0.107901
0.126676 0.116233
0.150361 0.123850
0.175717 0.130644
0.202618 0.136521
0.230925 0.141394
0.260490 0.145191
0.291154 0.147854
0.322754 0.149342
0.355120 0.149629
0.388010 0.148715
0.420739 0.146697
0.453377 0.143838
0.486123 0.140227
0.518868 0.135916
0.551469 0.130962
0.583785 0.125424
0.615678 0.119368
0.647015 0.112861
0.677665 0.105974
0.707504 0.098780
0.736413 0.091354
0.764277 0.083772
0.790989 0.076112
0.816447 0.068452
0.840549 0.060825
0.863143 0.052840
0.884043 0.043857
0.903322 0.035140
0.920997 0.027336
0.937042 0.020688
0.951413 0.015252
0.964053 0.010978
0.974898 0.007745
0.983883 0.005402
0.990946 0.003789
0.996033 0.002756
0.999103 0.002185
1.000165 0.001595
0.999629 -0.001560
0.998432 -0.001767
0.995349 -0.001298
0.990210 -0.000612
0.983014 0.000144
0.973768 0.000789
0.962483 0.001121
0.949185 0.000935
0.933918 0.000056
0.916747 -0.001634
0.897762 -0.004148
0.877090 -0.007315
0.854911 -0.010568
0.831476 -0.012721
0.806787 -0.014493
0.780892 -0.016354
0.753902 -0.018349
0.725935 -0.020475
0.697113 -0.022723
0.667558 -0.025082
0.637396 -0.027536
0.606751 -0.030063
0.575749 -0.032637
0.544515 -0.035225
0.513171 -0.037788
0.481839 -0.040283
0.450639 -0.042662
0.419727 -0.044874
0.389560 -0.046905
0.360470 -0.048885
0.332023 -0.050819
0.304229 -0.052636
0.277162 -0.054263
0.250896 -0.055624
0.225501 -0.056650
0.201049 -0.057273
0.177614 -0.057431
0.155269 -0.057070
0.134091 -0.056138
0.114155 -0.054595
0.095542 -0.052402
0.078331 -0.049529
0.062607 -0.045974
0.048473 -0.041822
0.035973 -0.036898
0.025170 -0.031164
0.016133 -0.024607
0.008923 -0.017218
0.003595 -0.008989
0.000000 0.000000
